review_id,review_title,review_text,review_star,company,Product,ASIN
32,Great LapTop,"Love the Dell Laptop.  I got the touchscreen as this is what I had with Lenovo and really liked it (although did not care much for the Lenovo brand as I had many issues with it).  Because the screen it is an Infinity Edge Touch, I sometimes am holding the laptop and the screen changes because I accidentally touch the screen.  Not a major problem, just takes a little getting use to.  Also, sometimes websites are not as sensitive to touch and I end up using the pointer anyway.  The screen display is beautiful, the laptop is comparatively light weight.  I added the mCover Hard Shell, which added a bit of weight but fits beautifully.  Power, speed, etc., are all great.  Connectivity is never an issue.  I've had Windows10 for sometime now, so no issues for me with that.  Very pleased with the overall quality of this computer.  Battery life is good, although never quite what they claim.  Biggest thing to me is that I can use it as a laptop.  My Lenovo got so hot that it was impossible to hold.  So far so good on this Dell.",5,Dell,XPS 13,B07B11G31Y
33,Lenovo Laptop 14 Inch Ideapad,"This laptop is good for very light gaming. typing documents/note-taking surfing the interwebs. Watching YouTube vids scrolling through Facebook, scrolling through Instagram, googling things. This laptop is lightweight and super portable. Now its on to the bad side of this laptop 1.the speakers are not good I highly recommend getting a Bluetooth speaker or a 2.1 surround system, or some headphones. The camera is not so good either its not HD Quality its SD Quality 480p or 480I. These laptops are easily scratched and dented if you drop them so avoid that at all cost. It also has a habit to leave fingerprints on the laptop which is annoying but they wipe themselves away after a while. There is also not enough storage built-in 32GB is not enough you need more at least 64GB or 128GB needed. Or you can get a portable hard drive at least 500 to 3TB to store all sorts of important stuff.  The keyboard and the Trackpad are sweet no problems what so ever. I owned 4 of these laptops and not one has failed me has of yet. Update in 2020 you can't put mac osx on them they are incompatible with intel Celeron CPU, your best bet is Linux. Windows 10 goes too slow on this laptop the desktop is always glitching in and out because of the low graphics card. Windows 10 updates are a no go, there is not enough space to apply them, and there is nothing you can do about it 32GB is not enough space for anything let alone updates from windows 10. NO, you cannot put updates from windows 10 on a USB stick or External DRIVE. Your best bet and your only option is to install Linux.",5,Lenovo,IdeaPad 120S-14IAP,B076TSJ32N
34,Unacceptable performance,"I went into this purchase with the full knowledge that it is, in fact, a very cheap laptop. All I needed it for was browsing the internet and (casually) streaming video - nothing more. This computer, however, could not handle those basic tasks. Sometimes it would take around 10 seconds simply to load the start menu, and to load the initial video streaming page took over 30 seconds in general (even after, yes, I downloaded updates). The trackpad was also unacceptable - very unresponsive and required multiple clicks to register anything most of the time. Ultimately yes it's cheap, but for me the performance was more than abysmal and I couldn't justify even this price for a basically non-functional machine, so I returned it.",2,Lenovo,IdeaPad 120S-14IAP,B076TSJ32N
35,Great PC For The Money!,"This computer at this price is unbeatable!I had to take my MacBook in the shop and needed a laptop to get me through a tough stretch of grad school. After going through and returning several PCs that cost between $500-$700, I landed on this cheap guy and stood pat. It functioned well for a great price; you can't beat it for under $200. I am a writer and needed an excellent keypad, and this Lenovo more than served its purpose. The internet is a tick slower, but the machine and it's cost was worth it. There is also very little storage, but at this price, just add a removable storage device. Unless you are photo or video editing, this computer will serve you well in school or daily home use. I highly recommend it.",4,Lenovo,IdeaPad 120S-14IAP,B076TSJ32N
36,Good Computer for its price,"Its a really good computer its price. The only real downside, especially coming from my previous computer (A Surface Pro 3 128gb), is the lack of storage and no touchscreen. Ive not a $20 120gb external hard drive so that problem is taken care of. Still taking some time to get used to not touching the screen. Other than that, the speakers arent very loud but plug in some headphones and no need for those anyway right? Its internet speed is efficient enough to get most tasks done and its really just overall a good computer. I appreciate its price being so low after my Surface essentially commuted digital suicide. 10/10 would recommend.",5,Lenovo,IdeaPad 120S-14IAP,B076TSJ32N
37,Very easy to Install,This laptop actually walks you though setting up everything including wifi.  Very user friendly my boyfriend isn't computer savvy and it continues to help him when he has a question.,5,Lenovo,IdeaPad 120S-14IAP,B076TSJ32N
38,"Incredible Deal, easy to upgrade to max performance.","This model (1TB HD, 4GB RAM) is the best buy in low budget laptops for many reasons. I was prepared to return it but it's exceeded my expectations. First, it has features almost never found in even sub $800 unit much less $329 - backlight keyboard, 1920 x 1080 display and upgradable/replaceable storage. For those reasons alone, it's a 5 star machine.It has a M2 slot accessible without violating warranty on bottom. I ordered it with $70 Crucial 275GB M2 SSD and additional 4GB RAM ($29) from Kingston (what it came with). So now for $429 I have a 15"" Kaby Lake I3 with 8GB RAM, 256GB SSD and 1TB second drive with backlit keys and Full 1080p display and HD 620 Intel Graphics - better for video playback than 520. I could not find something close to this used much less new.And the other aspects are good as well. Keyboard is comfortable, number keybad is nice for my work, backlit works well (if on/off proximity function does not bug you, it does not me). Trackpad works better than I expected.Screen is a TN panel (1080P IPS would probably double the price). So viewing angles are not great and contrast is just okay. But for single person use it's good by budget panel features with better than expected color accuracy and a blue light filter that reduces strain.The chassis has a nice faux brushed metal look and more rigid than most sub $400 plastic models. Weight is so so - not heavy not light for a 15.6"". Sound from speakers was also better than I expected in this price range.Bloatware on my model was minimal. BIOS is bare bones but easily accessible to change boot drive etc. And you get full ports without ultrabook dongles. And with my upgrades, model posted a 2900 Single Core Geekbench and 5800 multicore. Again, very good for a machine in this price range.I've had it for a week - will update long term use - but right now it's a winner. For the money, you can't find a better deal on a 15.6"" HD with backlit.EDIT. Update. Everything is worked as stated above - nothing has changed. Battery life is impressive even with adding RAM and SSD. The only real quibbles is backlight timing is annoying and viewing angles are not ideal (not a great group laptop). But considering nothing at this prices even has backlight or 1080p screens, you would need to move to $500 or more model to improve. I would buy this again at the price without hesitation.",5,Acer,Aspire 3,B01K1IO3QW
39,Best Value Laptop Ever!,"This laptop has exceeded my expectations from the start. I was looking for a lower end machine to do light audio editing and voice recording. After spending 20+ hours researching for a reliable laptop, I decided to jump on this top seller for Amazon. For $350, you are getting a lot of a machine. This Acer is able to be upgraded easily which will increase its usefulness in the future.So, here's my pro/con list.PRO:---Keyboard: The keyboard is fantastic to type on for long periods and the key spacing is perfect for people with larger hands. The keys aren't cramped and the layout seems just right. However, I would have preferred the delete key to be a little more obvious. I have accidentally hit the 'Home' button a few times. The keyboard is also backlit. This is a great feature for typing in the dark but I would have liked to see a bit more glow from the LEDs. I have heard that the keyboard covers that can be purchased for this model spread the light out a bit and make the backlighting look great.---CPU: Although it is an i3, this 7th gen CPU is more than capable of handling multiple demanding apps and light gaming (you won't be running any AAA graphically demanding titles on it, but light/moderate gaming and older titles should prove playable). There is little heat generated from this CPU while browsing the web or watching videos.---Screen: I prefer larger screens. The laptop I use for work is a Lenovo X240 with a 13"" screen and 1280x768 resolution which looks terrible in comparison to this screen. Full 1080p HD resolution looks good on the larger 15.6"" screen and the brightness is spot on. I am currently in a well lit room (no direct light on the monitor) and I have the brightness set all the way down and it is a very comfortable view while typing this review. I noticed that the viewing angles are fairly good when looking at the screen from the sides but not so much from above/below.---Ports: This thing has all the ports you'll need! USB 3.1 Type-C port is a huge bonus in making this machine future compatible with phones/monitors/etc. There are also 2 other USB 3.1 Type-A ports that boast super fast data transfer. The HDMI and VGA ports are great, although I think it is about time to kill off the VGA port.---Upgradability: You'll eventually want to add some RAM (at least 4GB) and this machine makes it easy to do just that. I haven't upgraded yet, still running fine on 4GB but will be purchasing an 8GB module soon for a total of 12GB. I'm not much of a multitasker and usually don't burn through RAM as much as the next guy, but I recognize that 4GB is pretty much the bare minimum nowadays. There is an M.2 SSD slot that is open and ready for a super speedy SSD (will be purchasing next week). This means that you can upgrade your system to run on an SSD without having to remove the 2.5"" SATA HDD (which is a generous 1TB). You can also upgrade to a SATA SSD if you wish, but I believe you'll be happier going the M.2 route.CON:---HDD: The hard drive is 5400rpm and very slow. Boot times are around 1.5-2 minutes and reading large data sets is gonna take some time. This is the main reason I'll be updating to an M.2 SSD.---Trackpad: By far one of the touchiest track pads I have ever dealt with. I constantly am having to disable it by pressing Fn+F7 while typing. It does have a nice click to it but the cursor moves very erratically sometimes and I would recommend using a Bluetooth/USB mouse.---Speaker: Use headphones...that's all I'm going to say.So...even though I have a few things I dislike about the laptop, you need to look at the price. You are getting a lot of laptop for the low price of $350 and if you are just looking to do basic things and aren't into heavy gaming or video editing, this laptop may just be perfect for you.",5,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),B01K1IO3QW
40,Decent laptop with a few flaws,"CPU: the i5 8250u processor will power-throttle under load - for most users this shouldn't be a problem but if you plan to game with it (and you probably will if you bought it for dedicated graphics) it might be an issue. You can use Throttlestop as a work-around and try undervolting to prevent it overheating.GPU: The MX150 is equivalent to the GTX 1030 desktop card. It is quite capable and will run games such as GTA 5 at 1080 at lower settings. It will struggle with newer games however and you will have to lower the resolution and settings to get a decent frame rate.SSD: 256 GB is quite small by today's standards and if you have a lot of files, you can either swap out the stock SSD for a larger capacity one or use an external drive. There is a spare bay on the bottom of the laptop but it is empty and you have to purchase the connection cables separate.Build quality: When I first bought the laptop, it would suddenly shut down without any warning when running on battery power. I found that this is a common fault on this laptop - the power safety cut-off switch inside the memory hatch is not held down firmly enough. A couple of layers of electrical tape fixed it for me.Screen: Definitely a weak point on this laptop. It is full HD (1080) but viewing angles are poor and colours look washed out.Overall: For the price, it is a decent laptop, despite these shortcomings. It will handle everyday tasks with ease and can also handle some light gaming.",4,Acer,Aspire A515-51G,B075KCJHMD
41,"Plays well, Lasts little","As much as this laptop seems to fit the bill from price, to size, to its ability to perform games and work at a decent level, it is stunted so so badly by it's terrible material quality.  The screen and bezel are practically MADE TO BREAK.  After about a year of use, the low quality plastic on one of the sides of the screens just snapped off as I opened the top like normal.  After just dealing with it and using it with a minor defect for about a month, the rest of that whole side fell off as well as the plastic covering the hinge.  Finally, I took off the bezel carefully (in the process some of the cheap plastic just fell apart despite my careful deconstruction).  What I found horrified me.  The screen itself is secured by 6 small metal flaps that screw into the bezel and back.  What I noticed is that one of my two bottom flaps had just torn off of the screen entirely.  I was confused as to how this happened until I realized that the flap was not even secured into the back like the others.  This flap was screwed into the hinge itself.  Meaning that every single time I was opening the screen, it was pulling on the screen itself.  It does not surprise me that after a year of use the screen is ruined because just by regular use you will slowly tear the screen apart.  Sorry, but I don't feel like buying a laptop that is designed to break after use.  I wish I could get my money back for this time bomb of garbage.",2,Acer,Aspire A515-51G,B075KCJHMD
